Date,PortfolioValue,Peak,Drawdown
2020-01-02,107640.46070538057,107640.46070538057,0.0
2020-01-03,107640.46070538057,107640.46070538057,0.0
2020-01-06,107640.46070538057,107640.46070538057,0.0
2020-01-07,107640.46070538057,107640.46070538057,0.0
2020-01-08,107640.46070538057,107640.46070538057,0.0
2020-01-09,107640.46070538057,107640.46070538057,0.0
2020-01-10,107640.46070538057,107640.46070538057,0.0
2020-01-13,107640.46070538057,107640.46070538057,0.0
2020-01-14,107640.46070538057,107640.46070538057,0.0
2020-01-15,107640.46070538057,107640.46070538057,0.0
2020-01-16,107640.46070538057,107640.46070538057,0.0
2020-01-17,107640.46070538057,107640.46070538057,0.0
2020-01-21,107640.46070538057,107640.46070538057,0.0
2020-01-22,107640.46070538057,107640.46070538057,0.0
2020-01-23,107640.46070538057,107640.46070538057,0.0
2020-01-24,107640.46070538057,107640.46070538057,0.0
2020-01-27,107640.46070538057,107640.46070538057,0.0
2020-01-28,107640.46070538057,107640.46070538057,0.0
2020-01-29,107640.46070538057,107640.46070538057,0.0
2020-01-30,107640.46070538057,107640.46070538057,0.0
2020-01-31,107640.46070538057,107640.46070538057,0.0
2020-02-03,107640.46070538057,107640.46070538057,0.0
2020-02-04,107640.46070538057,107640.46070538057,0.0
2020-02-05,107640.46070538057,107640.46070538057,0.0
2020-02-06,107640.46070538057,107640.46070538057,0.0
2020-02-07,107640.46070538057,107640.46070538057,0.0
2020-02-10,107640.46070538057,107640.46070538057,0.0
2020-02-11,107640.46070538057,107640.46070538057,0.0
2020-02-12,107640.46070538057,107640.46070538057,0.0
2020-02-13,107640.46070538057,107640.46070538057,0.0
2020-02-14,107640.46070538057,107640.46070538057,0.0
2020-02-18,107640.46070538057,107640.46070538057,0.0
2020-02-19,107640.46070538057,107640.46070538057,0.0
2020-02-20,107640.46070538057,107640.46070538057,0.0
2020-02-21,107640.46070538057,107640.46070538057,0.0
2020-02-24,107640.46070538057,107640.46070538057,0.0
2020-02-25,107640.46070538057,107640.46070538057,0.0
2020-02-26,107640.46070538057,107640.46070538057,0.0
2020-02-27,107640.46070538057,107640.46070538057,0.0
2020-02-28,107640.46070538057,107640.46070538057,0.0
2020-03-02,107640.46070538057,107640.46070538057,0.0
2020-03-03,107640.46070538057,107640.46070538057,0.0
2020-03-04,107640.46070538057,107640.46070538057,0.0
2020-03-05,107640.46070538057,107640.46070538057,0.0
2020-03-06,107640.46070538057,107640.46070538057,0.0
2020-03-09,107640.46070538057,107640.46070538057,0.0
2020-03-10,107640.46070538057,107640.46070538057,0.0
2020-03-11,107640.46070538057,107640.46070538057,0.0
2020-03-12,107640.46070538057,107640.46070538057,0.0
2020-03-13,107640.46070538057,107640.46070538057,0.0
2020-03-16,107640.46070538057,107640.46070538057,0.0
2020-03-17,107640.46070538057,107640.46070538057,0.0
2020-03-18,107640.46070538057,107640.46070538057,0.0
2020-03-19,107640.46070538057,107640.46070538057,0.0
2020-03-20,107640.46070538057,107640.46070538057,0.0
2020-03-23,107640.46070538057,107640.46070538057,0.0
2020-03-24,107640.46070538057,107640.46070538057,0.0
2020-03-25,107640.46070538057,107640.46070538057,0.0
2020-03-26,107640.46070538057,107640.46070538057,0.0
2020-03-27,107640.46070538057,107640.46070538057,0.0
2020-03-30,107640.46070538057,107640.46070538057,0.0
2020-03-31,107640.46070538057,107640.46070538057,0.0
2020-04-01,107640.46070538057,107640.46070538057,0.0
2020-04-02,107640.46070538057,107640.46070538057,0.0
2020-04-03,107640.46070538057,107640.46070538057,0.0
2020-04-06,107640.46070538057,107640.46070538057,0.0
2020-04-07,107640.46070538057,107640.46070538057,0.0
2020-04-08,107640.46070538057,107640.46070538057,0.0
2020-04-09,107640.46070538057,107640.46070538057,0.0
2020-04-13,107640.46070538057,107640.46070538057,0.0
2020-04-14,107640.46070538057,107640.46070538057,0.0
2020-04-15,107640.46070538057,107640.46070538057,0.0
2020-04-16,107640.46070538057,107640.46070538057,0.0
2020-04-17,107640.46070538057,107640.46070538057,0.0
2020-04-20,107640.46070538057,107640.46070538057,0.0
2020-04-21,107640.46070538057,107640.46070538057,0.0
2020-04-22,107640.46070538057,107640.46070538057,0.0
2020-04-23,107640.46070538057,107640.46070538057,0.0
2020-04-24,107640.46070538057,107640.46070538057,0.0
2020-04-27,107640.46070538057,107640.46070538057,0.0
2020-04-28,107640.46070538057,107640.46070538057,0.0
2020-04-29,107640.46070538057,107640.46070538057,0.0
2020-04-30,107640.46070538057,107640.46070538057,0.0
2020-05-01,108472.02236039408,108472.02236039408,0.0
2020-05-04,109894.76139695414,109894.76139695414,0.0
2020-05-05,111425.34016282328,111425.34016282328,0.0
2020-05-06,112277.39311257958,112277.39311257958,0.0
2020-05-07,112277.39311257958,112277.39311257958,0.0
2020-05-08,112277.39311257958,112277.39311257958,0.0
2020-05-11,112277.39311257958,112277.39311257958,0.0
2020-05-12,112277.39311257958,112277.39311257958,0.0
2020-05-13,112277.39311257958,112277.39311257958,0.0
2020-05-14,112277.39311257958,112277.39311257958,0.0
2020-05-15,112277.39311257958,112277.39311257958,0.0
2020-05-18,112277.39311257958,112277.39311257958,0.0
2020-05-19,112277.39311257958,112277.39311257958,0.0
2020-05-20,112277.39311257958,112277.39311257958,0.0
2020-05-21,112277.39311257958,112277.39311257958,0.0
2020-05-22,112277.39311257958,112277.39311257958,0.0
2020-05-26,112277.39311257958,112277.39311257958,0.0
2020-05-27,112277.39311257958,112277.39311257958,0.0
2020-05-28,112277.39311257958,112277.39311257958,0.0
2020-05-29,112277.39311257958,112277.39311257958,0.0
2020-06-01,112277.39311257958,112277.39311257958,0.0
2020-06-02,112277.39311257958,112277.39311257958,0.0
2020-06-03,112277.39311257958,112277.39311257958,0.0
2020-06-04,112277.39311257958,112277.39311257958,0.0
2020-06-05,112277.39311257958,112277.39311257958,0.0
2020-06-08,112277.39311257958,112277.39311257958,0.0
2020-06-09,112277.39311257958,112277.39311257958,0.0
2020-06-10,112277.39311257958,112277.39311257958,0.0
2020-06-11,112277.39311257958,112277.39311257958,0.0
2020-06-12,112277.39311257958,112277.39311257958,0.0
2020-06-15,112277.39311257958,112277.39311257958,0.0
2020-06-16,112277.39311257958,112277.39311257958,0.0
2020-06-17,112277.39311257958,112277.39311257958,0.0
2020-06-18,112277.39311257958,112277.39311257958,0.0
2020-06-19,112277.39311257958,112277.39311257958,0.0
2020-06-22,112277.39311257958,112277.39311257958,0.0
